step,S,E,I,R,inc,beta,Rt
128,7300,33,109,92558,4,0.625,0.1825
129,7287,37,96,92580,13,0.625,0.182175
130,7285,35,81,92599,2,0.625,0.18212499999999998
131,7278,34,73,92615,7,0.625,0.18195
132,7275,27,69,92629,3,0.625,0.18187499999999998
133,7273,23,60,92644,2,0.625,0.18182500000000001
134,7266,25,53,92656,7,0.625,0.18165
135,7264,21,50,92665,2,0.625,0.18159999999999998
136,7262,16,45,92677,2,0.625,0.18155000000000002
137,7261,14,40,92685,1,0.625,0.181525
138,7255,17,29,92699,6,0.625,0.181375
139,7255,14,25,92706,0,0.625,0.181375
140,7254,11,19,92716,1,0.625,0.18134999999999998
141,7252,11,18,92719,2,0.625,0.18130000000000002
142,7252,8,17,92723,0,0.625,0.18130000000000002
143,7251,7,13,92729,1,0.625,0.18127500000000002
144,7251,7,11,92731,0,0.625,0.18127500000000002
145,7251,6,10,92733,0,0.625,0.18127500000000002
146,7250,4,10,92736,1,0.625,0.18125
147,7250,3,9,92738,0,0.625,0.18125
148,7249,2,9,92740,1,0.625,0.181225
149,7249,2,6,92743,0,0.625,0.181225
150,7249,2,6,92743,0,0.625,0.181225
151,7249,1,7,92743,0,0.625,0.181225
152,7249,0,7,92744,0,0.625,0.181225
153,7248,1,5,92746,1,0.625,0.1812
154,7248,1,4,92747,0,0.625,0.1812
155,7248,1,4,92747,0,0.625,0.1812
156,7248,0,5,92747,0,0.625,0.1812
157,7248,0,3,92749,0,0.625,0.1812
158,7248,0,3,92749,0,0.625,0.1812
159,7248,0,3,92749,0,0.625,0.1812
160,7248,0,3,92749,0,0.625,0.1812
161,7248,0,2,92750,0,0.625,0.1812
162,7248,0,2,92750,0,0.625,0.1812
163,7248,0,2,92750,0,0.625,0.1812
164,7248,0,2,92750,0,0.625,0.1812
165,7248,0,2,92750,0,0.625,0.1812
166,7248,0,2,92750,0,0.625,0.1812
167,7248,0,2,92750,0,0.625,0.1812
168,7248,0,2,92750,0,0.625,0.1812
169,7248,0,1,92751,0,0.625,0.1812
170,7248,0,1,92751,0,0.625,0.1812
171,7248,0,0,92752,0,0.625,0.1812
172,7248,0,0,92752,0,0.625,0.1812
173,7248,0,0,92752,0,0.625,0.1812
174,7248,0,0,92752,0,0.625,0.1812
175,7248,0,0,92752,0,0.625,0.1812
176,7248,0,0,92752,0,0.625,0.1812
177,7248,0,0,92752,0,0.625,0.1812
